institution	institution_url	repository_hosts	repo_urls	our_records	our_theses	docs_online	status	match_quality
North Carolina Central University				0	0	0	not-in-census	
North Dakota State University	https://und.edu	commons.und.edu;digitalcommons.ndsu.edu;library.ndsu.edu	https://commons.und.edu/;https://digitalcommons.ndsu.edu/;https://library.ndsu.edu/	53139	127	0	in-census	ambiguous
Northcentral University				0	0	0	not-in-census	
Northeastern University Bouvé Graduate School of Health Sciences				0	0	0	not-in-census	
Northeastern University College of Arts, Media, and Design				0	0	0	not-in-census	
Northeastern University College of Computer and Information Science				0	0	0	not-in-census	
Northeastern University College of Professional Studies				0	0	0	not-in-census	
Northeastern University Graduate School of Engineering				0	0	0	not-in-census	
Northeastern University Graduate School of Social Sciences and Humanities				0	0	0	not-in-census	
Northeastern University Graduate School of the College of Science				0	0	0	not-in-census	
Northern Arizona University				0	0	0	not-in-census	
Northern Illinois University				0	0	0	not-in-census	
Northern Kentucky University				0	0	0	not-in-census	
Northwest Nazarene University				0	0	0	not-in-census	
Northwestern University	https://nwciowa.edu	nwcommons.nwciowa.edu;scholarlycommons.law.northwestern.edu;arch.library.northwestern.edu;digitalhub.northwestern.edu	https://nwcommons.nwciowa.edu/;https://scholarlycommons.law.northwestern.edu/;https://arch.library.northwestern.edu/;https://digitalhub.northwestern.edu/	15249	769	0	in-census	ambiguous
Notre Dame de Namur University	https://nd.edu.au	researchonline.nd.edu.au;scholarship.law.nd.edu;curate.nd.edu	https://researchonline.nd.edu.au/;https://scholarship.law.nd.edu/;https://curate.nd.edu/	22485	473	0	in-census	ambiguous
Notre Dame of Maryland University	https://nd.edu.au	researchonline.nd.edu.au;scholarship.law.nd.edu;curate.nd.edu	https://researchonline.nd.edu.au/;https://scholarship.law.nd.edu/;https://curate.nd.edu/	22485	473	0	in-census	ambiguous
Nova Southeastern University - Graduate School of Computer and	https://nova.edu	nsuworks.nova.edu	https://nsuworks.nova.edu/	87498	38	0	in-census	ambiguous
Information Sciences				0	0	0	not-in-census	
Nova Southeastern University - H. Wayne Huizenga	https://nova.edu	nsuworks.nova.edu	https://nsuworks.nova.edu/	87498	38	0	in-census	ambiguous
School of Business and Entrepreneurship				0	0	0	not-in-census	
Nova Southeastern University - Oceanographic Center	https://nova.edu	nsuworks.nova.edu	https://nsuworks.nova.edu/	87498	38	0	in-census	ambiguous
Nova Southeastern University-Center for Psychological Studies	https://nova.edu	nsuworks.nova.edu	https://nsuworks.nova.edu/	87498	38	0	in-census	ambiguous
Nova Southeastern University-Health Professions Division	https://nova.edu	nsuworks.nova.edu	https://nsuworks.nova.edu/	87498	38	0	in-census	ambiguous
Nyack School of Business and Leadership				0	0	0	not-in-census	
Nyack, Alliance Theological Seminary	https://asburyseminary.edu	place.asburyseminary.edu	https://place.asburyseminary.edu/	40113	7	0	in-census	ambiguous
Ohio University				0	0	0	not-in-census	
Oklahoma State University, Graduate College	https://swosu.edu	dc.swosu.edu;digitalcommons.law.ou.edu;shareok.org;library.okstate.edu	https://dc.swosu.edu/;https://digitalcommons.law.ou.edu/;https://shareok.org/;https://library.okstate.edu/	68113	320	0	in-census	ambiguous
Pacifica Graduate Institute				0	0	0	not-in-census	
Palo Alto University				0	0	0	not-in-census	
Pepperdine University Graduate School of Education				0	0	0	not-in-census	
and Psychology	https://psyjournals.ru	psyjournals.ru;pepsic.bvs-psi.org.br;htpprints.yorku.ca;159.226.113.160:8080	https://psyjournals.ru/;https://pepsic.bvs-psi.org.br/;https://htpprints.yorku.ca/;https://159.226.113.160:8080/	0	0	0	in-census	unambiguous
Pepperdine University-Graziadio School of Business and				0	0	0	not-in-census	
Management/MSOD Program	https://ipb.ac.id	repository.mb.ipb.ac.id	https://repository.mb.ipb.ac.id/	0	0	0	in-census	unambiguous
Pepperdine University-Seaver College				0	0	0	not-in-census	
Petroleum Institute (Abu Dhabi, UAE)				0	0	0	not-in-census	
Philadelphia University	https://pcom.edu	digitalcommons.pcom.edu;research.philadelphia.edu.jo	https://digitalcommons.pcom.edu/;https://research.philadelphia.edu.jo/	7604	1879	0	in-census	unambiguous
Piedmont College				0	0	0	not-in-census	
Plymouth State University	https://plymouth.ac.uk	pearl.plymouth.ac.uk;plymsea.ac.uk;uplace.org.uk:8080;sabella.mba.ac.uk	https://pearl.plymouth.ac.uk/;https://plymsea.ac.uk/;https://uplace.org.uk:8080/;https://sabella.mba.ac.uk/	28275	124	0	in-census	unambiguous
Polytechnic Institute of NYU				0	0	0	not-in-census	
Polytechnic University of Puerto Rico	https://upr.edu	repositorio.upr.edu	https://repositorio.upr.edu/	5914	4820	0	in-census	ambiguous
Portland State University	https://portlandlibrary.com	digitalcommons.portlandlibrary.com;pdxscholar.library.pdx.edu;pilotscholars.up.edu	https://digitalcommons.portlandlibrary.com/;https://pdxscholar.library.pdx.edu/;https://pilotscholars.up.edu/	91368	139	0	in-census	unambiguous
Prescott College-ADGP				0	0	0	not-in-census	
Princeton Theological Seminary	https://asburyseminary.edu	place.asburyseminary.edu;dspace.lancasterseminary.edu;ir.taitheo.org.tw:8080;digitalcommons.fuller.edu	https://place.asburyseminary.edu/;https://dspace.lancasterseminary.edu/;https://ir.taitheo.org.tw:8080/;https://digitalcommons.fuller.edu/	40113	7	0	in-census	ambiguous
Princeton University	https://princeton.edu	dataspace.princeton.edu;princeton.edu;libserv12.princeton.edu	https://dataspace.princeton.edu/;https://princeton.edu/;https://libserv12.princeton.edu/	0	0	0	in-census	unambiguous
Purdue University Graduate School	https://purdue.edu	docs.lib.purdue.edu;scholarworks.iupui.edu;idea.iupui.edu;opus.ipfw.edu	https://docs.lib.purdue.edu/;https://scholarworks.iupui.edu/;https://idea.iupui.edu/;https://opus.ipfw.edu/	151383	154	0	in-census	ambiguous
Regent University				0	0	0	not-in-census	
Rensselaer Polytechnic Institute	https://rpi.edu	dspace.rpi.edu	https://dspace.rpi.edu/	6986	40	0	in-census	unambiguous
Rivier University				0	0	0	not-in-census	
Robert Morris University				0	0	0	not-in-census	
